provincescode,bpscode,provincesname
ID.SW.BM,7101,"Bolaang Mongondow, Kab."
ID.SW.MI,7102,"Minahasa, Kab."
ID.SW.KS,7103,"Kepulauan Sangihe, Kab."
ID.SW.KT,7104,"Kepulauan Talaud, Kab."
ID.SW.MS,7105,"Minahasa Selatan, Kab."
ID.SW.MU,7106,"Minahasa Utara, Kab."
ID.SW.BU,7107,"Bolaang Mongondow Utara, Kab."
ID.SW.ST,7108,"Kep. Siau Tagulandang Biaro, Kab."
ID.SW.MT,7109,"Minahasa Tenggara, Kab."
ID.SW.BS,7110,"Bolaang Mongondow Selatan, Kab."
ID.SW.BT,7111,"Bolaang Mongondow Timur, Kab."
ID.SW.MA,7171,"Manado, Kota"
ID.SW.BI,7172,"Bitung, Kota"
ID.SW.TO,7173,"Tomohon, Kota"
ID.SW.KO,7174,"Kotamobagu, Kota"
ID.ST.BK,7201,"Banggai Kepulauan, Kab."
ID.ST.BA,7202,"Banggai, Kab."
ID.ST.MO,7203,"Morowali, Kab."
ID.ST.PO,7204,"Poso, Kab."
ID.ST.DO,7205,"Donggala, Kab."
ID.ST.TT,7206,"Toli-Toli, Kab."
ID.ST.BT,7207,"Buol, Kab."
ID.ST.PM,7208,"Parigi Moutong, Kab."
ID.ST.TU,7209,"Tojo Una-Una, Kab."
ID.ST.SG,7210,"Sigi, Kab."
ID.ST.BL,7211,"Banggai Laut, Kab."
ID.ST.MU,7212,"Morowali Utara, Kab."
ID.ST.PA,7271,"Palu, Kota"
ID.SE.SE,7301,"Kepulauan Selayar, Kab."
ID.SE.BU,7302,"Bulukumba, Kab."
ID.SE.BT,7303,"Bantaeng, Kab."
ID.SE.JE,7304,"Jeneponto, Kab."
ID.SE.TA,7305,"Takalar, Kab."
ID.SE.GO,7306,"Gowa, Kab."
ID.SE.SI,7307,"Sinjai, Kab."
ID.SE.MR,7308,"Maros, Kab."
ID.SE.PK,7309,"Pangkajene Kepulauan, Kab."
ID.SE.BR,7310,"Barru, Kab."
ID.SE.BO,7311,"Bone, Kab."
ID.SE.SO,7312,"Soppeng, Kab."
ID.SE.WA,7313,"Wajo, Kab."
ID.SE.SR,7314,"Sidenreng Rappang, Kab."
ID.SE.PI,7315,"Pinrang, Kab."
ID.SE.EN,7316,"Enrekang, Kab."
ID.SE.LW,7317,"Luwu, Kab."
ID.SE.TT,7318,"Tana Toraja, Kab."
ID.SE.LU,7322,"Luwu Utara, Kab."
ID.SE.LT,7325,"Luwu Timur, Kab."
ID.SE.TU,7326,"Toraja Utara, Kab."
ID.SE.UP,7371,"Makassar, Kota"
ID.SE.PP,7372,"Parepare, Kota"
ID.SE.PA,7373,"Palopo, Kota"
ID.SG.BU,7401,"Buton, Kab."
ID.SG.MU,7402,"Muna, Kab."
ID.SG.KN,7403,"Konawe, Kab."
ID.SG.KO,7404,"Kolaka, Kab."
ID.SG.KS,7405,"Konawe Selatan, Kab."
ID.SG.BO,7406,"Bombana, Kab."
ID.SG.WA,7407,"Wakatobi, Kab."
ID.SG.KU,7408,"Kolaka Utara, Kab."
ID.SG.BN,7409,"Buton Utara, Kab."
ID.SG.KA,7410,"Konawe Utara, Kab."
ID.SG.KT,7411,"Kolaka Timur, Kab."
ID.SG.KK,7412,"Konawe Kepulauan, Kab."
ID.SG.MB,7413,"Muna Barat, Kab."
ID.SG.BT,7414,"Buton Tengah, Kab."
ID.SG.BS,7415,"Buton Selatan, Kab."
ID.SG.KC,7471,Kendari City
ID.SG.BA,7472,"Bau-Bau, Kota"
ID.GO.BO,7501,"Boalemo, Kab."
ID.GO.GM,7502,"Gorontalo, Kab."
ID.GO.PO,7503,"Pohuwato, Kab."
ID.GO.BB,7504,"Bone Bolango, Kab."
ID.GO.GU,7505,"Gorontalo Utara, Kab."
ID.GO.GR,7571,"Gorontalo, Kota"
ID.SR.MJ,7601,"Majene, Kab."
